FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2365.810   -9999.000  -9999.000  -9999.000     21.765      2.554  -9999.000      8.561      9.083     11.916    -17.911

2367.060      75.690  -9999.000  -9999.000     21.354      2.556    137.439      9.357      9.792     12.858    -18.000
2367.185      75.319  -9999.000  -9999.000     20.887      2.586    134.735      9.406      9.857     15.246    -17.994
2367.310      75.058  -9999.000  -9999.000     20.844      2.594    131.709      9.478      9.949     15.035    -17.961
2367.435      74.711  -9999.000  -9999.000     21.344      2.587    129.019      9.496      9.955     12.707    -17.908
2367.560      74.267  -9999.000  -9999.000     21.573      2.583    127.674      9.507      9.947     11.703    -17.848
2367.685      73.662  -9999.000  -9999.000     21.232      2.582    126.988      9.551      9.975     11.011    -17.778
2367.810      73.171  -9999.000  -9999.000     20.440      2.583    128.535      9.681     10.101     11.263    -17.698
2367.935      73.097  -9999.000  -9999.000     19.582      2.585    132.435      9.927     10.364     13.422    -17.610
2368.060      73.479  -9999.000  -9999.000     19.151      2.579    133.646     10.285     10.759     17.460    -17.516
2368.185      73.826  -9999.000  -9999.000     19.396      2.559    133.780     10.545     11.032     15.859    -17.409
2368.310      74.021  -9999.000  -9999.000     19.869      2.543    128.696     10.664     11.151     13.520    -17.296
2368.435      74.023  -9999.000  -9999.000     20.164      2.538    125.333     10.718     11.207     11.522    -17.185
2368.560      74.088  -9999.000  -9999.000     20.184      2.542    123.854     10.664     11.152     11.073    -17.077
2368.685      74.469  -9999.000  -9999.000     20.061      2.552    122.711     10.461     10.931     12.476    -16.974
2368.810      75.125  -9999.000  -9999.000     20.089      2.558    123.719     10.181     10.616     14.094    -16.888
2368.935      76.059  -9999.000  -9999.000     20.802      2.554    127.889      9.764     10.153     14.089    -16.845
2369.060      76.874  -9999.000  -9999.000     21.728      2.548    131.682      9.471      9.840     12.863    -16.822
2369.185      77.356  -9999.000  -9999.000     22.172      2.545    132.153      9.308      9.677     11.993    -16.815
2369.310      77.774  -9999.000  -9999.000     21.889      2.548    131.548      9.324      9.718     11.877    -16.825
2369.435      78.492  -9999.000  -9999.000     21.051      2.557    131.494      9.495      9.942     12.091    -16.852
2369.560      79.600  -9999.000  -9999.000     20.228      2.566    127.190      9.614     10.114     11.750    -16.887
2369.685      81.263  -9999.000  -9999.000     20.765      2.568    132.906      9.370      9.836     12.772    -16.898
2369.810      82.543  -9999.000  -9999.000     22.369      2.568    137.224      8.849      9.254     12.039    -16.897
2369.935      82.994  -9999.000  -9999.000     24.199      2.568    143.613      8.268      8.637     10.428    -16.878
2370.060      82.528  -6663.285  -6663.311     25.508      2.567    150.163      7.819      8.173      9.317    -16.843
2370.185      81.284      8.179      8.102     25.766      2.569    152.477      7.625      7.970      9.527    -16.794
2370.310      79.496      8.179      8.105     24.779      2.578    146.559      7.699      8.043     10.275    -16.730
2370.435      77.871      8.179      8.102     23.106      2.591    142.523      8.108      8.455     10.774    -16.673
2370.560      76.504      8.179      8.101     21.618      2.592    134.991      8.703      9.100     11.294    -16.613
2370.685      75.321      8.179      8.100     20.535      2.583    131.991      9.322      9.777     12.121    -16.561
2370.810      74.483      8.180      8.099     19.934      2.575    130.741      9.882     10.380     13.019    -16.514
2370.935      74.171      8.180      8.103     19.757      2.576    127.728     10.334     10.855     13.605    -16.466
2371.060      74.358      8.175      8.105     19.815      2.587    128.804     10.616     11.145     13.725    -16.423
2371.185      75.376      8.178      8.105     19.962      2.590    123.760     10.635     11.171     13.989    -16.367
2371.310      76.926      8.177      8.103     19.894      2.586    124.742     10.477     11.026     13.542    -16.304
2371.435      78.633      8.177      8.103     19.813      2.580    127.311     10.148     10.695     12.724    -16.232
2371.560      79.937      8.180      8.103     20.100      2.580    131.413      9.704     10.232     11.953    -16.158
2371.685      80.272      8.181      8.102     21.018      2.584    136.645      9.232      9.739     11.340    -16.085
2371.810      79.233      8.179      8.109     22.427      2.585    137.520      8.829      9.342     10.307    -16.012
2371.935      77.393      8.176      8.106     22.984      2.580    139.537      8.766      9.294      9.814    -15.971
2372.060      76.047      8.178      8.107     22.384      2.582    135.421      8.979      9.540     11.987    -15.968
2372.185      75.681      8.179      8.106     21.371      2.592    133.565      9.287      9.890     15.374    -15.995
2372.310      76.533      8.179      8.103     20.579      2.604    132.758      9.568     10.201     16.935    -16.038
2372.435      78.450      8.180      8.104     20.398      2.613    131.790      9.691     10.306     15.025    -16.091
2372.560      80.742      8.183      8.101     20.836      2.613    139.053      9.448      9.956     12.359    -16.157
2372.685      82.460      8.180      8.107     21.615      2.611    135.018      8.830      9.187     10.669    -16.196
2372.810      83.674      8.177      8.106     22.501      2.608    138.300      8.186      8.482     10.396    -16.209
2372.935      84.487      8.177      8.106     23.261      2.606    139.215      7.663      7.943     10.166    -16.206
2373.060      85.025      8.179      8.107     23.706      2.607    141.178      7.293      7.562      9.658    -16.201
2373.185      85.353      8.180      8.106     23.838      2.612    146.290      7.035      7.278      9.156    -16.199
2373.310      85.413      8.183      8.109     23.999      2.619    140.909      6.812      7.038      9.105    -16.187
2373.435      85.117      8.180      8.106     24.616      2.619    143.263      6.673      6.893      8.964    -16.200
2373.560      85.203      8.179      8.110     25.189      2.618    142.120      6.684      6.909      8.776    -16.213
2373.685      85.327      8.183      8.130     25.497      2.615    147.123      6.748      6.972      8.906    -16.228
2373.810      85.339      8.185      8.141     25.586      2.608    153.392      6.826      7.039      9.148    -16.231
2373.935      85.101      8.183      8.126     25.622      2.597    154.306      6.917      7.112      9.044    -16.214
2374.060      84.317      8.183      8.123     25.746      2.585    154.306      7.042      7.211      8.196    -16.187
2374.185      83.275      8.186      8.140     25.469      2.584    145.967      7.222      7.381      7.753    -16.126
2374.310      83.122      8.186      8.137     24.600      2.592    141.232      7.454      7.622      8.439    -16.060
2374.435      83.869      8.184      8.127     23.745      2.598    140.667      7.630      7.810      9.707    -15.983
2374.560      85.435      8.183      8.119     23.564      2.594    144.164      7.680      7.861     10.601    -15.905
2374.685      87.378      8.182      8.120     24.448      2.573    150.742      7.562      7.728     10.274    -15.844
2374.810      88.625      8.179      8.123     26.195      2.541    158.341      7.267      7.398      8.497    -15.806
2374.935      88.382      8.181      8.122     27.407      2.519    162.780      6.886      7.006      6.734    -15.811
2375.060      87.667      8.185      8.120     27.478      2.520    161.839      6.657      6.786      6.827    -15.842
2375.185      86.667      8.183      8.121     26.830      2.541    158.987      6.582      6.725      7.871    -15.902
2375.310      85.815      8.179      8.123     26.042      2.569    153.230      6.644      6.799      8.950    -15.981
