FORWARD_TEXT_FORMAT_1.0
STDEP =   284.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  RXO, CALI, RT, RI, AC, GR, DEN, CNL, SP
END
#DEPTH           RXO       CALI         RT         RI         AC         GR        DEN        CNL         SP
 284.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     87.847
 284.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     87.993
 284.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     88.063
 284.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     88.036
 284.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     87.944
 284.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000      0.000     87.928
 284.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.972
 284.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     88.074
 285.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     88.096
 285.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     88.024
 285.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.928
 285.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.800
 285.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.626
 285.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.441
 285.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.287
 285.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     87.055
 286.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.845
 286.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.685
 286.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.540
 286.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.469
 286.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.492
 286.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.476
 286.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     86.385
