FORWARD_TEXT_FORMAT_1.0
STDEP =   290.0000
ENDEP =  2716.0000
RLEV  =     0.1250
CURVENAME =  RT, RI, RXO, CALI, AC, GR, DEN, CNL, R025, RA2, BZSP, R2M, SP
END
#DEPTH            RT         RI        RXO       CALI         AC         GR        DEN        CNL       R025        RA2       BZSP        R2M         SP
 290.0000       1.618      1.341      0.490    -47.002     69.894      2.234     11.617     30.234      0.100      0.100      0.090      0.100      0.090
 290.1250       1.838      1.541      0.490    -46.946     67.555      2.234     11.617     30.234      0.033      0.390     65.391      0.390     65.391
 290.2500       2.246      1.808      0.488    -46.997     72.581      2.234     11.617     30.234      0.033      0.394     65.313      0.394     65.313
 290.3750       2.581      2.006      0.495    -46.734     81.903      2.234     11.617     30.234      0.031      0.403     65.296      0.403     65.296
 290.5000       2.969      2.303      0.503    -46.343     89.170      2.234     11.617     30.234      0.030      0.409     65.310      0.409     65.310
 290.6250       3.254      2.575      0.502    -46.022     93.606      2.234     11.617     30.234      0.032      0.412     65.333      0.412     65.333
 290.7500       3.306      2.687      0.498    -45.803     95.404      2.234     11.617     30.234      0.035      0.409     65.349      0.409     65.349
 290.8750       3.109      2.576      0.506    -45.553     95.708      2.234     11.617     30.234      0.039      0.401     65.340      0.401     65.340
 291.0000       3.293      2.664      0.504    -45.399     99.042      2.234     11.617     30.234      0.043      0.401     65.270      0.401     65.270
 291.1250       3.557      2.875      0.507    -45.462    101.856      2.234     11.617     30.234      0.045      0.407     65.130      0.407     65.130
 291.2500       3.625      2.956      0.508    -45.612    101.721      2.234     11.617     30.234      0.046      0.415     64.915      0.415     64.915
 291.3750       3.473      2.876      0.508    -45.760     99.583      2.234     11.617     30.234      0.045      0.413     64.553      0.413     64.553
 291.5000       3.170      2.686      0.510    -45.839     97.010      2.234     11.617     30.234      0.045      0.406     64.029      0.406     64.029
 291.6250       2.806      2.459      0.515    -45.813     94.394      2.234     11.617     30.234      0.047      0.399     63.322      0.399     63.322
 291.7500       2.503      2.193      0.511    -45.986     91.987      2.234     11.617     30.234      0.049      0.400     62.398      0.400     62.398
 291.8750       2.256      1.940      0.513    -46.089     87.549      2.234     11.617     30.234      0.050      0.409     61.144      0.409     61.144
 292.0000       2.082      1.756      0.517    -46.179     82.123      2.234    165.500    168.375      0.051      0.412     59.528      0.412     59.528
 292.1250       1.974      1.652      0.518    -46.361     76.985      2.234    165.500    168.375      0.051      0.411     57.464      0.411     57.464
 292.2500       1.905      1.601      0.514    -46.717     73.940      2.234    165.500    168.375      0.051      0.413     54.851      0.413     54.851
 292.3750       1.857      1.562      0.514    -47.051     79.529      2.234    165.500    168.375      0.052      0.411     51.535      0.411     51.535
 292.5000       1.845      1.535      0.511    -47.205     84.092      2.234    165.500    168.375      0.053      0.396     47.661      0.396     47.661
 292.6250       1.839      1.516      0.506    -47.250     85.157      2.234    165.500    168.375      0.056      0.359     43.348      0.359     43.348
 292.7500       1.831      1.501      0.502    -47.250     82.215      2.234    165.500    168.375      0.058      0.308     38.797      0.308     38.797
 292.8750       1.827      1.491      0.500    -47.223     76.987      2.234    165.500    168.375      0.069      0.319     34.208      0.319     34.208
 293.0000       1.848      1.492      0.500    -47.095     73.961      2.234    165.500    168.375      0.187      0.420     29.757      0.420     29.757
 293.1250       1.919      1.541      0.499    -47.017     76.634      2.234    165.500    168.375      0.634      0.542     25.599      0.542     25.599
 293.2500       1.975      1.593      0.501    -46.901     79.352      2.234    165.500    168.375      1.594      0.587     21.881      0.587     21.881
 293.3750       2.042      1.639      0.502    -46.659     80.392      2.234    165.500    168.375      2.635      0.547     18.800      0.547     18.800
 293.5000       2.134      1.686      0.501    -46.274     81.169      2.234    165.500    168.375      3.455      0.508     16.292      0.508     16.292
 293.6250       2.236      1.736      0.503    -45.814     84.333      2.234    165.500    168.375      3.996      0.492     14.284      0.492     14.284
 293.7500       2.233      1.748      0.497    -45.557     89.307      2.234    165.500    168.375      4.304      0.481     12.634      0.481     12.634
 293.8750       2.206      1.729      0.494    -45.439     94.282      2.234    165.500    168.375      4.483      0.473     11.288      0.473     11.288
 294.0000       2.142      1.684      0.493    -45.406     97.792      2.234    167.000    178.500      4.625      0.466     10.176      0.466     10.176
 294.1250       2.018      1.612      0.490    -45.477     95.099      2.234    167.000    178.500      4.685      0.460      9.244      0.460      9.244
 294.2500       1.871      1.519      0.487    -45.643     86.277      2.234    167.000    178.500      4.651      0.458      8.440      0.458      8.440
 294.3750       1.808      1.430      0.485    -45.846     78.677      2.234    167.000    178.500      4.561      0.460      7.763      0.460      7.763
 294.5000       1.760      1.409      0.483    -45.949     75.293      2.234    167.000    178.500      4.478      0.457      7.193      0.457      7.193
 294.6250       1.909      1.522      0.482    -45.907     79.606      2.234    167.000    178.500      4.412      0.446      6.737      0.446      6.737
 294.7500       2.119      1.645      0.486    -45.935     86.829      2.234    167.000    178.500      4.357      0.440      6.373      0.440      6.373
 294.8750       2.308      1.742      0.491    -46.094     92.587      2.234    167.000    178.500      4.326      0.426      6.084      0.426      6.084
 295.0000       2.436      1.815      0.496    -46.328     93.559      2.234    167.000    178.500      4.308      0.452      5.787      0.452      5.787
 295.1250       2.503      1.866      0.497    -46.430     88.841      2.234    167.000    178.500      4.278      0.771      5.501      0.771      5.501
 295.2500       2.514      1.895      0.492    -46.723     86.026      2.234    167.000    178.500      4.198      1.652      5.245      1.652      5.245
 295.3750       2.370      1.820      0.486    -47.029     85.612      2.234    167.000    178.500      4.108      3.085      5.009      3.085      5.009
 295.5000       2.150      1.686      0.486    -47.250     87.322      2.234    167.000    178.500      4.060      4.583      4.769      4.583      4.769
 295.6250       1.952      1.547      0.491    -47.316     88.183      2.234    167.000    178.500      4.049      5.873      4.520      5.873      4.520
 295.7500       1.843      1.446      0.495    -47.223     83.072      2.234    167.000    178.500      4.055      6.907      4.263      6.907      4.263
 295.8750       1.638      1.301      0.496    -47.299     74.303      2.234    167.000    178.500      4.076      7.663      3.993      7.663      3.993
 296.0000       1.484      1.213      0.493    -47.227     69.450      2.234    167.000    218.750      4.098      8.170      3.760      8.170      3.760
 296.1250       1.447      1.190      0.490    -47.031     70.477      2.234    167.000    218.750      4.119      8.442      3.554      8.442      3.554
 296.2500       1.495      1.216      0.493    -46.784     74.109      2.234    167.000    218.750      4.114      8.545      3.342      8.545      3.342
 296.3750       1.559      1.264      0.502    -46.558     75.885      2.234    167.000    218.750      4.064      8.608      3.158      8.608      3.158
 296.5000       1.588      1.298      0.507    -46.353     73.423      2.234    167.000    218.750      3.979      8.712      3.000      8.712      3.000
