FORWARD_TEXT_FORMAT_1.0
STDEP =   288.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  AC, RT, RI, RXO, CALI, DEN, CNL, GR, SP, RA2, R2M, R025, BZSP
END
#DEPTH            AC         RT         RI        RXO       CALI        DEN        CNL         GR         SP        RA2        R2M       R025       BZSP
 288.0000     290.000      1.618      1.341      0.100      0.490    -47.002     11.617      2.234    -21.379      5.910      5.910      0.000    -21.379
 288.1250    2716.000      1.838      1.541      0.033      0.490    -46.946     11.617      2.234    -21.901      6.044      6.044      0.000    -21.901
 288.2500       0.125      2.246      1.808      0.033      0.488    -46.997     11.617      2.234      0.000      0.000      0.000      0.000      0.000
 288.3750       0.000      2.581      2.006      0.031      0.495    -46.734     11.617      2.234     52.143      0.051      0.051     -0.381     52.143
 288.5000      64.000      2.969      2.303      0.030      0.503    -46.343     11.617      2.234     51.989      0.105      0.105     -0.380     51.989
 288.6250  93395145822172585000000000.000      3.254      2.575      0.032      0.502    -46.022     11.617      2.234     51.539      0.171      0.171     -0.380     51.539
 288.7500  93395164268916659000000000.000      3.306      2.687      0.035      0.498    -45.803     11.617      2.234     51.239      0.220      0.220     -0.379     51.239
 288.8750       0.355      0.149      0.286      0.039     12.669      7.324     11.617      2.234     50.154      0.245      0.245     -0.381     50.154
 289.0000       0.358      0.149      0.293      0.043     12.663      7.344     11.617      2.234     49.824      0.269      0.269     -0.381     49.824
 289.1250       0.359      0.150      0.288      0.045     12.656      7.750     11.617      2.234     48.861      0.319      0.319     -0.382     48.861
 289.2500       0.356      0.149      0.266      0.046     12.650      7.952     11.617      2.234     48.276      0.396      0.396     -0.381     48.276
 289.3750       0.354      0.149      0.258      0.045     12.633      7.992     11.617      2.234     46.262      0.482      0.482     -0.380     46.262
 289.5000       0.354      0.149      0.264      0.045     12.621      7.873     11.617      2.234     45.721      0.543      0.543     -0.380     45.721
 289.6250       0.356      0.149      0.270      0.047     12.620      7.593     11.617      2.234     44.140      0.566      0.566     -0.380     44.140
 289.7500       0.356      0.149      0.265      0.049     12.624      7.198     11.617      2.234     43.278      0.552      0.552     -0.380     43.278
 289.8750       0.355      0.149      0.285      0.050     12.618      6.890     11.617      2.234     40.602      0.503      0.503     -0.379     40.602
 290.0000       0.356      0.149      0.272      0.051     12.623      6.579    165.500      2.234     40.291      0.413      0.413     -0.379     40.291
 290.1250       0.356      0.150      0.251      0.051     12.625      6.344    165.500      2.234     38.783      0.287      0.287     -0.379     38.783
 290.2500       0.355      0.150      0.249      0.051     12.622      6.238    165.500      2.234     37.332      0.135      0.135     -0.379     37.332
 290.3750       0.354      0.149      0.263      0.052     12.617      6.237    165.500      2.234     35.967     -0.010     -0.010     -0.377     35.967
 290.5000       0.353      0.150      0.263      0.053     12.617      6.234    165.500      2.234     34.773     -0.085     -0.085     -0.378     34.773
 290.6250       0.357      0.149      0.211      0.056     12.624      6.234    165.500      2.234     33.701     -0.073     -0.073     -0.379     33.701
 290.7500       0.357      0.149      0.207      0.058     12.625      6.147    165.500      2.234     32.785      0.009      0.009     -0.380     32.785
 290.8750       0.357      0.149      0.203      0.069     12.621      5.918    165.500      2.234     31.561      0.114      0.114     -0.383     31.561
 291.0000       0.356      0.149      0.193      0.187     12.620      5.729    165.500      2.234     31.463      0.196      0.196     -0.384     31.463
 291.1250       0.354      0.149      0.190      0.634     12.625      5.726    165.500      2.234     31.010      0.239      0.239     -0.386     31.010
 291.2500       0.356      0.149      0.209      1.594     12.625      5.723    165.500      2.234     30.622      0.249      0.249     -0.388     30.622
 291.3750       0.358      0.149      0.212      2.635     12.625      6.012    165.500      2.234     29.957      0.242      0.242     -0.389     29.957
 291.5000       0.356      0.149      0.189      3.455     12.625      6.242    165.500      2.234     29.808      0.222      0.222     -0.389     29.808
 291.6250       0.355      0.150      0.178      3.996     12.625      6.444    165.500      2.234     29.372      0.192      0.192     -0.388     29.372
 291.7500       0.356      0.152      0.186      4.304     12.625      6.555    165.500      2.234     29.146      0.160      0.160     -0.388     29.146
 291.8750       0.358      0.153      0.194      4.483     12.625      6.474    165.500      2.234     28.481      0.142      0.142     -0.389     28.481
 292.0000       0.356      0.153      0.227      4.625     12.625      6.702    167.000      2.234     28.411      0.158      0.158     -0.389     28.411
 292.1250       0.352      0.153      0.279      4.685     12.625      6.558    167.000      2.234     28.003      0.207      0.207     -0.389     28.003
 292.2500       0.343      0.149      0.257      4.651     12.625      6.352    167.000      2.234     27.804      0.276      0.276     -0.389     27.804
 292.3750       0.331      0.143      0.221      4.561     12.625      6.273    167.000      2.234     27.645      0.347      0.347     -0.389     27.645
 292.5000       0.326      0.138      0.225      4.478     12.625      6.375    167.000      2.234     27.653      0.404      0.404     -0.389     27.653
 292.6250       0.340      0.140      0.207      4.412     12.625      6.474    167.000      2.234     27.811      0.447      0.447     -0.390     27.811
 292.7500       0.358      0.148      0.226      4.357     12.625      6.473    167.000      2.234     27.944      0.477      0.477     -0.390     27.944
 292.8750       0.374      0.153      0.217      4.326     12.625      6.470    167.000      2.234     28.463      0.486      0.486     -0.389     28.463
